created_at,order_number,sku,total_order_price,discount_code
2020-11-17 08:47:00+00:00,9086,LUBMONO1,29,
2020-11-17 08:47:00+00:00,9086,PM591,29,
2020-11-17 08:46:36+00:00,9085,PM535-1,40,
2020-11-17 08:46:36+00:00,9085,440007-003,40,
2020-11-17 08:46:36+00:00,9085,40053,40,
2020-11-17 08:46:36+00:00,9085,LIMP150,40,
2020-11-17 08:46:36+00:00,9085,PM574,40,
2020-11-17 08:46:36+00:00,9085,LUBMONO1,40,
2020-11-17 08:46:36+00:00,9085,6225,40,
2020-11-17 08:46:36+00:00,9085,PM573,40,
2020-11-17 08:45:32+00:00,9084,LUBMONO1,38,
2020-11-17 08:45:32+00:00,9084,PM037,38,
2020-11-17 08:45:10+00:00,9083,LUBMONO1,38,
2020-11-17 08:45:10+00:00,9083,PM039,38,
2020-11-17 08:44:54+00:00,9082,LUBMONO1,9,
2020-11-17 08:44:54+00:00,9082,730502,9,
2020-11-17 08:44:54+00:00,9081,TP00260,37,
2020-11-17 08:44:54+00:00,9081,LUBMONO1,37,
2020-11-17 08:44:54+00:00,9081,73PM306-1,37,
2020-11-17 08:44:28+00:00,9080,LUBMONO1,38,
2020-11-17 08:44:28+00:00,9080,PM037,38,
2020-11-17 08:44:24+00:00,9079,REGALITOS1,95,
2020-11-17 08:44:24+00:00,9079,TP00254-2,95,
2020-11-17 08:44:24+00:00,9079,LUBMONO1,95,
2020-11-17 08:44:24+00:00,9079,PM026,95,
2020-11-17 08:44:24+00:00,9079,PM037,95,
2020-11-17 08:44:16+00:00,9078,PM509-2,91,
2020-11-17 08:44:16+00:00,9078,TP00031,91,
2020-11-17 08:44:16+00:00,9078,REGALITOS1,91,
2020-11-17 08:44:16+00:00,9078,LUBMONO1,91,
2020-11-17 08:44:16+00:00,9078,730508,91,
2020-11-17 08:44:16+00:00,9078,73PM423,91,
2020-11-17 08:44:16+00:00,9078,TP00261,91,
2020-11-17 08:44:16+00:00,9078,PM592,91,
2020-11-17 08:43:30+00:00,9077,TP00064,64,
2020-11-17 08:43:30+00:00,9077,LUBMONO1,64,
2020-11-17 08:43:30+00:00,9077,771035-060,64,
2020-11-17 08:43:30+00:00,9077,73PM423,64,
2020-11-17 08:43:30+00:00,9077,PM591,64,
2020-11-17 08:43:09+00:00,9076,LUBMONO1,39,
2020-11-17 08:43:09+00:00,9076,PM036,39,
2020-11-17 08:43:03+00:00,9075,LIMP150,37,SNZ7AZ
2020-11-17 08:43:03+00:00,9075,LUBMONO1,37,SNZ7AZ
2020-11-17 08:43:03+00:00,9075,PM037,37,SNZ7AZ
2020-11-17 08:42:59+00:00,9074,LUBMONO1,70,
